date,DN_450,DN_500,DN_550,DN_570,DN_600,DN_650,DN_610,DN_680,DN_730,DN_760,DN_810,DN_860,Plot
2022-01-31,0.215727445,0.266764867,0.323102483,0.273375126,0.262330303,0.202658885,0.246941664,0.230644656,0.234043681,0.207331731,0.186831851,0.169214523,Sant Antonio 1
2022-02-01,0.777397724,0.784877915,0.850311881,0.743908569,0.788547764,0.625810636,0.72363765,0.610437781,0.868188083,0.830829327,0.981241882,0.972794931,Sant Antonio 1
2022-02-02,0.72185722,0.696309982,0.775547977,0.659264297,0.683849172,0.546125162,0.636816298,0.527635566,0.751563825,0.70817854,0.83349985,0.838781052,Sant Antonio 1
2022-02-03,1.067348505,1.42957008,1.405940305,1.338636229,1.134014199,1.07457847,1.147507835,1.137812141,1.167302799,1.051955857,1.044310121,1.022578699,Sant Antonio 1
2022-02-04,0.26093877,0.337544315,0.396554739,0.355062393,0.315886163,0.261916342,0.29547063,0.287718107,0.288379983,0.259915865,0.242281946,0.228301318,Sant Antonio 1
2022-02-07,0.902420302,0.917636191,0.955025067,0.863889053,0.896904969,0.769130999,0.833838843,0.750705255,0.950752757,0.921929633,1.116495154,1.12742633,Sant Antonio 1
2022-02-08,0.745111984,0.72489639,0.794931211,0.684768466,0.713740815,0.558446822,0.654130017,0.542263086,0.773960984,0.731124344,0.845364172,0.838781052,Sant Antonio 1
2022-02-09,1.024507812,1.16548909,1.11431736,1.068292034,1.047608669,0.937013619,0.992442625,0.982917146,1.102231764,1.097574301,1.259616345,1.31109826,Sant Antonio 1
2022-02-10,1.221383094,1.303739951,1.293502973,1.230483766,1.238245734,1.155317769,1.120715802,1.174903354,1.256361323,1.245765953,1.563093216,1.702202555,Sant Antonio 1
2022-02-11,1.181590355,1.231462526,1.295980529,1.196626057,1.205940964,1.073929961,1.102643818,1.105945042,1.235554495,1.228283435,1.537865921,1.704465453,Sant Antonio 1
2022-02-13,0.817529125,1.135841614,1.738661537,1.455142232,1.254826255,0.638618677,1.06030735,1.015829067,1.315733673,1.005244755,0.726346288,0.595645178,Sant Antonio 1
